species,results
Aepyceros+melampus,11100
Alces+alces,55100
Alouatta+belzebul,11400
Alouatta+caraya,6670
Alouatta+seniculus,8210
Antidorcas+marsupialis,4560
Aotus+trivirgatus,9400
Ateles+paniscus,6400
Axis+axis,6750
Bison+bison,279000
Bison+bonasus,9500
Canis+aureus,36300
Canis+latrans,38800
Canis+lupus,263000
Capreolus+capreolus,64500
Capricornis+crispus,2290
Ceratotherium+simum,12700
Cercopithecus+ascanius,3930
Cervus+elaphus,101000
Cervus+nippon,18600
Chlorocebus+pygerythrus,3220
Chrysocyon+brachyurus,7240
Connochaetes+taurinus,8080
Dama+dama,591000
Damaliscus+lunatus,2590
Diceros+bicornis,10200
Equus+burchellii,1930
Equus+zebra,20900
Felis+silvestris,20700
Genetta+genetta,11500
Giraffa+camelopardalis,10700
Gorilla+beringei,8600
Gorilla+gorilla,216000
Herpestes+ichneumon,3730
Hippotragus+equinus,3660
Hippotragus+niger,4650
Kobus+ellipsiprymnus,3900
Leopardus+pardalis,12000
Lontra+canadensis,6540
Lophocebus+albigena,2040
Lycalopex+gymnocercus,2580
Lynx+lynx,243000
Lynx+pardinus,5970
Lynx+rufus,20000
Macaca+fuscata,26200
Mandrillus+sphinx,6170
Martes+foina,11000
Meles+meles,59700
Mephitis+mephitis,18800
Mustela+erminea,16300
Mustela+putorius,22100
Neovison+vison,10200
Nyctereutes+procyonoides,13400
Odocoileus+hemionus,25500
Odocoileus+virginianus,47300
Ovis+aries,83000
Ovis+canadensis,30700
Ozotoceros+bezoarticus,3760
Pan+troglodytes,91800
Panthera+leo,35900
Papio+anubis,26100
Papio+cynocephalus,17900
Papio+papio,89300
Papio+ursinus,13700
Phacochoerus+aethiopicus,3870
Phoca+vitulina,32000
Piliocolobus+badius,1240
Pithecia+pithecia,8610
Procyon+lotor,34400
Puma+concolor,41500
Rangifer+tarandus,44300
Rupicapra+pyrenaica,4490
Rupicapra+rupicapra,15100
Saguinus+midas,2470
Semnopithecus+entellus,3870
Sus+scrofa,185000
Syncerus+caffer,15800
Taurotragus+oryx,6550
Taxidea+taxus,8000
Tragelaphus+angasii,1190
Tragelaphus+scriptus,5870
Tragelaphus+strepsiceros,7230
Urocyon+cinereoargenteus,9800
Urocyon+littoralis,2590
Ursus+americanus,49700
Vulpes+lagopus,14900
Vulpes+velox,5500
Vulpes+vulpes,172000
Zalophus+californianus,16000
